ObjectID,AphiaID,RACEcode,FRAMcode,SWFSCcode,Kingdom,Phylum,Subphylum,Class,Subclass,Order,Family,Genus,Species,AUV_OTU,common_name,common_name_authority,AUV_nickname,morpho_type_descriptor,also_called_historically_3,12RB_button,Group1,Group2,Activation_date,Deactivation_date
,,44019,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Caryophilliidae,Crispatotrochus,foxi,,,,,,,,,,,
,,44017,,801,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Caryophilliidae,Desmophyllum,dianthus,,Giant trumpet coral,,,,,Desmophyllum dianthus,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Caryophilliidae,Labyrinthocyathus,quaylei,,,,,,,,,,,
,,,144001,711,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Caryophilliidae,Lophelia,pertusa,,Aggregating coral,,,,,Lophelia pertusa,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Caryophilliidae,Nomlandia,californica,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Caryophilliidae,Paracyathus,montereyensis,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Caryophilliidae,Paracyathus,stearnsii,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Caryophilliidae,Paracyathus,,,,,,,,,,,,
,,44020,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Caryophilliidae,,,,Unidentified cup coral,,Unknown cup coral,,,Unknown cup coral,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,elegans,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia,oldroydae,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania,californica,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Polymyces,montereyensis,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Fungiacyathidae,Fungiacyathus,marenzelleri,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Micrabaciidae,Leptopenus,discus,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Micrabaciidae,Leptopenus,hypocoelus,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Micrabaciidae,Leptopenus,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Madrepora,oculata,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Oculina,profunda,,,,,,,,,,,
,,,,800,Animalia,Cnidaria,,Anthozoa,Hexacorallia,,,,,,Unidentified zooanthid,,Unknown zooanthid,,,Unknown zooanthid,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Acanthogorgiidae,Acanthogorgia,gracillima,,,,,,,,,,,
,,44100,,810,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Acanthogorgiidae,Acanthogorgia,,,Gold coral,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Acanthogorgiidae,Calcigorgia,japonica,,,,,,,,,,,
,,41701,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Acanthogorgiidae,Calcigorgia,spiculifera,,,,,,,,,,,
,,41700,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Acanthogorgiidae,Calcigorgia,,,pink (white) sea fan,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Acanthogorgiidae,Muricella,complanata,,,,,,,,,,,
,,44116,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Acanthogorgiidae,,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Alcyoniidae,Bathyalcyon,robustum,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Alcyoniidae,Eleutherobia,rubra,,,,,,,,,,,
,,,141334,207,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Alcyoniidae,Heteropolypus,ritteri,,Mushroom coral,,,Anthomastus ritteri,,Heteropolypus ritteri,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Anthothelidae,Anthothela,pacifica,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Chrysogorgidae,Chrysogorgia,monticola,,,,,,,,,,,
,,,,756,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Chrysogorgidae,Chrysogorgia,pinnata,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Chrysogorgidae,Chrysogorgia,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Chrysogorgidae,Iridogorgia,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Chrysogorgidae,Radicipes,stonei,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Clavulariidae,Clavularia,grandiflora,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Clavulariidae,Clavularia,sp. A,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Clavulariidae,Clavularia,sp. H,,,,,,,,,,,
,,41750,,803,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Clavulariidae,Clavularia,,,Colonial soft coral,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Clavulariidae,Telesto,californica,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Clavulariidae,Telesto,nuttingi,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Clavulariidae,Telestula,ambigua,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Coralliidae,Coralliidae,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Coralliidae,Hemicorallium,regale,,,,,,,,,,,
,,,144105,843,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Gorgoniidae,Adelogorgia,phyllosclera,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Gorgoniidae,Eugorgia,daniana,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Gorgoniidae,Eugorgia,ljubenkovia,,,,,,,,,,,
,,,144110,714,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Gorgoniidae,Eugorgia,rubens,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Gorgoniidae,Eugorgia,,,,,,,,,,,,
,,,144115,715,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Gorgoniidae,Leptogorgia,chiliensis,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Gorgoniidae,Leptogorgia,filicrispa,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Gorgoniidae,Leptogorgia,sp. A,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Gorgoniidae,Leptogorgia,,,,,,,,,,,,
,,41500,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Gorgoniidae,,,,Unknown Gorgonian,,,,,Unknown gorgonian,,,,
,,,,748,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Isididae,Acanella,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Isididae,Bathygorgia,profunda,,,,,,,,,,,
,,44065,,839,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Isididae,Isidella,tentaculum,,Articulated Bamboo coral,,,,,Isidella spp.,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Isididae,Keratoisis,flabellum,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Isididae,Keratoisis,philippinensis,,,,,,,,,,,
,,44088,,845,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Isididae,Keratoisis,,,Forked Bamboo coral,,,,,Keratoisis spp.,,,,
,,44110,,847,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Isididae,Lepidisis,,,Unbranching Bamboo coral,,,,,Lepidisis spp.,,,,
,,44084,144084,840,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Isididae,,,,Unknown bamboo coral,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Nephtheidae,Gersemia,juliapackardi,,Soft Coral,,,,,Gersemia juliapackardi,,,,
,,41221,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Nephtheidae,Gersemia,rubiformes,,,,,,,,,,,
,,41201,,743,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Nephtheidae,Gersemia,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Nephtheidae,Neospongodes,,,,,,,,,,,,
,,41583,,616,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Paragorgiidae,Paragorgia,pacifica,,,,,,Paragorgia arborea,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Paragorgiidae,Paragorgia,regalis,,,,,,,,,,,
,,,,815,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Paragorgiidae,Paragorgia,stephencairnsi,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Paragorgiidae,Paragorgia,yutlinux,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Paragorgiidae,Paragorgia,,,Bubblegum coral,,,,,Paragorgia spp.,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Octocorallia,Alcyonacea,Paragorgiidae,Sibogagorgia,californica,,,,,,,,,,,
